Deputado,Fala
Abel Mesquita Jr,"['Roraima', 'verás', 'filho', 'foge', 'luta', 'povo', 'brasileiro', 'merece', 'respeito', 'Por', 'justiça', 'igualdade', 'social', 'corrupção', 'Roraima', 'desacorrentada', 'possamos', 'exercer', 'direito', 'constitucional', 'ir', 'vir', 'todas', 'famílias', 'roraimenses', 'Presidente']"
Carlos Andrade,"['Presidente', 'história', 'ricos', 'contra', 'pobres', 'direita', 'contra', 'esquerda', 'Nação', 'contra', 'corrupção', 'Presidente']"
Édio Lopes,"['Presidente', 'contra', 'prosseguimento', 'processo', 'impedimento', 'Presidente', 'República']"
Hiran Gonçalves,"['Presidente', 'querido', 'família', 'fizeram', 'chegar', 'médicos', 'respeitados', 'próximo', 'governo', 'maçons', 'bem', 'povo', 'brasileiro', 'Presidente']"
Jhonatan de Jesus,"['Presidente', 'favor', 'PMDB', 'favor', 'PT', 'consciência', 'povo', 'brasileiro', 'digo', 'Estado', 'Roraima', 'médicos', 'brasileiros', 'contra', 'corrupção']"
Maria Helena,"['Por', 'Roraima', 'povo', 'brasileiro', 'ruas', 'pedindo', 'mudanças', 'melhor', 'podemos', 'desistir']"
Remídio Monai,"['Com', 'consciência', 'família', 'Roraima', 'Presidente']"
Shéridan,"['Pelo', 'resgate', 'esperança', 'roubada', 'povo', 'brasileiro', 'geração', 'próximas', 'gerações', 'Estado', 'Roraima']"
Afonso Hamm,"['Em', 'nome', 'povo', 'gaúcho', 'povo', 'Estado', 'nome', 'povo', 'brasileiro', 'votarmos', 'favor', 'mudança', 'favor', 'esperança', 'impeachment']"
Afonso Motta,"['Pelo', 'legado', 'Getúlio', 'Jango', 'Brizola', 'democracia', 'Estado', 'Democrático', 'Direito', 'PDT', 'vota']"
Alceu Moreira,"['Pelo', 'fim', 'populismo', 'irresponsável', 'corrupto', 'fim', 'vagabundização', 'remunerada', 'valorização', 'trabalho', 'produção', 'pesquisa', 'tecnologia', 'inovação']"
Bohn Gass,"['nojo', 'horror', 'golpismo', 'poder', 'édo', 'povo', 'povo', 'elegeu', 'Presidenta', 'Ela', 'honesta', 'pode', 'ser', 'afastada', 'processo', 'ilegítimo', 'conduzido', 'réu', 'Lava-Jato', 'Pela', 'democracia', 'País']"
Carlos Gomes,"['Presidente', 'nome', 'famílias', 'gaúchas', 'nome', 'pessoas', 'trabalho', 'constroem', 'País']"
Covatti Filho,"['sangue', 'farroupilha', 'motivo', 'orgulho', 'orgulho', 'porque', 'Estado', 'defendeu', 'ideologias', 'sempre', 'lutou', 'Como', 'diz', 'hino', 'rio-grandense', 'povo', 'virtude', 'acaba', 'ser', 'escravo', 'Honrando', 'Rio', 'Grande', 'Sul', 'impeachment', 'Presidente']"
Danrlei de Deus Hinterholz,"['Presidente', 'Deputados', 'foi-me', 'dada', 'honra', 'povo', 'Rio', 'Grande', 'Sul', 'estar', 'nesta', 'Casa', 'carregando', 'esperança', 'todos', 'gaúchos']"
Darcísio Perondi,"['Pelos', 'direitos', 'crianças', 'jovens', 'mulheres', 'todos', 'brasileiros', 'Governo', 'decente', 'acima', 'tudo', 'esperança', 'brasileiros']"
Giovani Cherini,"['Gente', 'bom', 'coração', 'amor', 'amor', 'bandeira', 'amor', 'vida', 'amor', '115.294', 'eleitores', 'fim', 'corrupção', 'Presidente']"
Heitor Schuch,"['Pela', 'retomada', 'crescimento', 'econômico', 'social', 'bem']"
Henrique Fontana,"['Contra', 'conspiração', 'corrupção', 'representadas', 'Eduardo', 'Cunha', 'Temer', 'contra', 'golpe', 'defesa', 'democracia', 'respeito', 'cidadão', 'brasileiro', 'toda', 'convicção', 'golpe', 'impeachment']"
Jerônimo Goergen,"['Para', 'filho', 'filha', 'vão', 'chegar', 'vivam', 'país', 'futuro', 'Rio', 'Grande', 'impeachment']"
João Derly,"['Com', 'consciência', 'tranquila', 'Rio', 'Grande']"
José Fogaça,"['Que', 'responsabilidade', 'sabedoria', 'coletiva', 'paraenfrentar', 'momentos', 'virão']"
José Otávio Germano,"['Em', 'homenagem', 'família', 'amigos', 'gaúchos', 'gaúchas', 'especialmente', 'povo', 'Cachoeira', 'Sul']"
José Stédile,"['Os', 'dois', 'lados', 'rua', 'pedem', 'ética', 'política', 'Hoje', 'vamos', 'dar', 'primeiro', 'passo', 'Em', 'nome', 'desempregados', 'indústria', 'nacional']"
Luiz Carlos Heinze,"['Pelos', 'gaúchos', 'represento', 'combater', 'projeto', 'poder', 'corrupção', 'Lula', 'PT', 'agricultores', 'brasileiros', 'impeachment']"
Luis Carlos Busato,"['Presidente', 'momento', 'reescrever', 'ética', 'democracia', 'brasileira', 'Pela', 'família', 'Canoas', 'gaúchos']"
Marco Maia,"['Pelos', 'trabalhadores', 'trabalhadoras', 'democraciae', 'respeito', 'soberano', 'povo', 'brasileiro', 'elegeu', 'Presidenta', 'Dilma', '54', 'milhões', 'votos', 'golpe']"
Marcon,"['Sou', 'brasileiro', 'defesa', 'pequenos', 'pobres', 'trabalhadores', 'defesa', 'movimentos', 'sociais', 'reforma', 'agrária', 'reforma', 'urbana', 'democracia', 'todos', 'réus', 'Lava-Jato', 'prisão', 'contra', 'golpe']"
Maria do Rosário,"['Pela', 'democracia', 'soberania', 'popular', 'dignidade', 'humana', 'todos', 'lutaram', 'contra', 'ditadura', 'militar', 'Deputado', 'Rubens', 'Paiva', 'cassado', 'morto', 'ditadura', 'novas', 'gerações', 'nãoa', 'golpe']"
Mauro Pereira,"['Pelo', 'povo', 'Caxias', 'Sul', 'Serra', 'Gaúcha', 'Rio', 'Grande', 'Sul', 'dignidade', 'esperança', 'povo', 'brasileiro', 'Viva', 'Viva', 'Sérgio', 'Moro']"
Nelson Marchezan Junior,"['Para', 'corresponder', 'Presidente', 'expectativas', 'eleitores', 'brasileiros', 'expectativas', 'melhor', 'combater', 'corrupção', 'possamos', 'olhar', 'frente', 'diferente', 'separar', 'legal', 'ilegal', 'Constituição', 'poderia', 'ser', 'impeachment', 'Presidente', 'Dilma']"
Onyx Lorenzoni,"['Diz', 'hino', 'rio-grandense', 'Sirvam', 'façanhas', 'modelo', 'toda', 'terra', 'Estamos', 'legitimados', 'povo', 'brasileiro', 'dizer', 'basta', 'roubalheira', 'esperança', 'novo', 'futuro']"
Osmar Terra,"['Pela', 'família', 'esposa', 'filhos', 'famílias', 'brasileiras', 'crianças', 'Santa', 'Rosa', 'povo', 'Rio', 'Grande', 'Presidente']"
Paulo Pimenta,"['reconheço', 'legitimidade', 'Eduardo', 'Cunha', 'presidir', 'processo', 'Não', 'reconheço', 'legitimidade', 'conspirador', 'Michel', 'Temer', 'presidir', 'País', 'Não', 'acredito', 'político', 'demagogo', 'fala', 'combater', 'corrupção', 'alia', 'corruptos', 'pior', 'Contra', 'golpe', 'contra', 'golpistas']"
Pepe Vargas,"['Contra', 'acordão', 'Eduardo', 'Cunha', 'Michel', 'Temer', 'Aécio', 'Neves', 'querem', 'abafar', 'combate', 'corrupção', 'contra', 'golpistas', 'prezam', 'democracia', 'direitos', 'trabalhadores', 'Constituição', 'jurei', 'cumprir', 'democracia', 'legalidade', 'golpe']"
Pompeo de Mattos,"['Presidente', 'Dilma', 'Temer', 'Cunha', 'quero', 'eleições', 'limpas', 'honestas', 'limpar', 'sujeira', 'limpar', 'alma', 'País', 'Cumpro', 'decisão', 'partido', 'posso', 'votar', 'favor', 'contra', 'abstenção', 'contra', 'corrupção']"
Renato Molling,"['Existe', 'espaço', 'política', 'sério', 'fala', 'verdade', 'Vamos', 'crescer', 'trabalho', 'exemplo', 'vir', 'cima', 'Pelo', 'Rio', 'Grande']"
Ronaldo Nogueira,"['Pelos', 'fundamentos', 'cristianismo', 'defesa', 'princípios', 'administração', 'pública', 'porque', 'ninguém', 'acima', 'lei']"
Sérgio Moraes,"['Presidente', 'respeito', 'suor', 'mão', 'calejada', 'fumicultores', 'trabalhadores', 'indústria', 'fumageira', 'Estado', 'Rio', 'Grande', 'Sul', 'Feliz', 'aniversário', 'Ana', 'neta']"
Carmen Zanotto,"['Com', 'serenidade', 'convicção', 'Estado', 'Santa', 'Catarina', 'fim', 'corrupção', 'todos', 'espaços', 'poder']"
Celso Maldaner,[]
Cesar Souza,"['Presidente', '1992', 'votei', 'favor', 'impeachment', 'Agora', 'País', 'clamando', 'mudança', 'Estou', 'nome', 'povo', 'Florianópolis', 'nome', 'povo', 'Santa', 'Catarina', 'segunda', 'vez', 'neste', 'plenário']"
Décio Lima,"['Presidente', 'trabalhadores', 'campo', 'cidade', 'todos', 'lutaram', 'democracia', 'tombaram', 'nesta', 'luta', 'Deputado', 'Paulo', 'Wright', 'Estado', 'assassinado', 'ditadura', 'contra', 'golpe']"
Esperidião Amin,"['Para', 'honrar', 'ampla', 'maioria', 'vontade', 'povo', 'catarinense', 'dar', 'chance']"
Geovania de Sá,"['Presidente', 'honra', 'família', 'cidade', 'Criciúma', 'Santa', 'Catarina', 'libertação', 'povo', 'brasileiro', 'digo']"
João Paulo Kleinübing,"['Presidente', 'esperança', 'futuro', 'melhor', 'brava', 'gente', 'Santa', 'Catarina', 'Blumenau', 'Presidente']"
João Rodrigues,"['Presidente', 'família', 'guerreira', 'Chapecó', 'Estado', 'Santa', 'Catarina', 'quebrar', 'espinha', 'dorsal', 'dessa', 'quadrilha', 'Presidente']"
Jorge Boeira,"['Pelos', 'princípios', 'ensinei', 'filhas', 'ética', 'honestidade', 'moral', 'quais', 'quero', 'ensinem', 'netos', 'povo', 'Santa', 'Catarina', 'vai', 'ruas', 'protestar', 'contra', 'corrupção']"
Jorginho Mello,"['Presidente', 'filhos', 'Bruno', 'Felipe', 'privilégio', 'ser', 'Santa', 'Catarina', 'entender', 'corrupção', 'combina', 'democracia', 'Santa', 'Catarina']"
Marco Tebaldi,"['Em', 'nome', 'Joinville', 'Santa', 'Catarina', 'neto', 'Pedro', 'nasceu', 'há10', 'dias', 'futuro', 'todas', 'famílias', 'bem']"
Mauro Mariani,"['Para', 'traduzir', 'sentimento', 'majoritário', 'povo', 'gente', 'Santa', 'Catarina', 'esperança', 'momento', 'inaugure', 'novo', 'tempo', 'política', 'brasileira']"
Pedro Uczai,"['Presidente', 'Lula', 'melhor', 'Presidente', 'deste', 'País', 'Dilma', 'mulher', 'valente', 'honesta', 'democracia', 'Não', 'golpe', 'Fora', 'golpistas']"
Rogério Peninha Mendonça,"['Pelo', 'cidade', 'Ituporanga', 'adotou', 'Nova', 'Trento', 'onde', 'nasci', 'toda', 'Santa', 'Catarina', 'mudança', 'Estatuto', 'Desarmamento', 'agricultores', 'fim', 'corrupção']"
Ronaldo Benedet,"['Pela', 'cidade', 'Criciúma', 'maioria', 'povo', 'Estado', 'esperança']"
Valdir Colatto,"['Por', 'todos', 'brasileiros', 'enganados', 'Governo', 'Santa', 'Catarina', 'oeste', 'catarinense', 'Xanxerê', 'Chapecó', 'todos', 'produzem', 'trabalham', 'neste', 'agricultores', 'alimentam', 'todos', 'dias', 'porque', 'agricultor', 'planta', 'ninguém', 'almoça', 'janta', 'Presidente']"
André Abdon,"['Presidente', 'caráter', 'valor', 'homem', 'faz', 'ouro', 'prata', 'faz', 'posição', 'Pelo', 'Estado', 'Amapá']"
Cabuçu Borges,"['Presidente', 'querido', 'Estado', 'Amapá', 'família', 'amigos', 'eleitores', 'votaram', 'mim', 'forma', 'espontânea', 'povo', 'maravilhoso', 'Estado', 'Amapá', 'paz', 'harmonia', 'concórdia']"
Janete Capiberibe,"['Em', 'defesa', 'popular', 'regras', 'democráticas', 'impeachment', 'porque', 'existe', 'crime', 'Fora', 'Cunha']"
Jozi Araújo,"['Pelo', 'Amapá', 'democracia', 'votos', 'válidos', 'senhores']"
Marcos Reategui,"['Presidente', 'Parlamentares', 'momento', 'histórico', 'passado', 'limpo', 'Considerando', 'situação', 'origem', 'delegado', 'Polícia', 'Federal', 'quero', 'dizer', 'Amapá', 'Justiça', 'Ministério', 'Público', 'retiveram', 'recolher', '350', 'milhões', 'reais', 'devidos', 'Fisco', 'Se', 'queremos', 'consertar', 'precisamos', 'ir', 'final', 'propondo', 'CPI', 'possamos', 'realmente', 'passar', 'limpo', 'CPI', 'impeachment']"
